ma_cua_hang,ten_cua_hang,dia_chi,dien_thoai,hotline,email,gio_mo_cua,website,lat,lng,tinh_thanh,loai_cua_hang
KH28,Cửa hàng Bluera Việt Nhật Tiến Phát,"Ấp Thanh Hoa, Tổ 22, KP 4A, Phường Trảng Dài, Biên Hòa, Đồng Nai",0927173027,,,,,11.4285446,107.1624245,Đồng Nai,cua-hang-uy-quyen
KH30,Cửa hàng Bluera Việt Nhật Đồng Tháp,"842 Ấp Tân Bình, Xã An Phước, Tỉnh Đồng Tháp",0918111322,,,,,10.4251830,105.9271362,Đồng Tháp,cua-hang
KH85,Đại lý Bluera Việt Nhật Thanh Tùng,"75/1 Ấp Lịch, Xã Lịch Hội Thượng, Tỉnh Vĩnh Long",0979441160,,,,,10.0467650,106.2947443,Vĩnh Long,dai-ly-uy-quyen
KH386,Cửa hàng Bluera Việt Nhật Trung Tín Phát,"Thôn 4, Thị Trấn Lâm Đồng",0912534635,,,,,11.6614957,108.1335279,Lâm Đồng,cua-hang-uy-quyen
KH78,Cửa hàng Bluera Việt Nhật Lộc Phúc,"Chợ Thủ Thừa, Ấp Bình Xuân 1, Xã Nam Phú, Long An",0950274530,,,,,10.4808280,107.2008562,Long An,cua-hang-uy-quyen
KH387,Đại lý Bluera Việt Nhật Hồng Hương,"Ấp Thắng A, Xã Kim Sơn, Tỉnh Đồng Tháp",0940792479,,,,,10.4251830,105.9271362,Đồng Tháp,dai-ly-uy-quyen
KH63,Đại lý Bluera Việt Nhật Shoprow Bon Bike,"Số 30 Đường Bùi Văn Hòa, Thành phố Cần Thơ",0906117172,,,,,10.0362046,105.7872656,Cần Thơ,dai-ly-uy-quyen
KH805,Cửa hàng Bluera Việt Nhật Ánh Dương,"J06 KP.2, Đường Bình Giã, Phường Tân Thành, TP. Hồ Chí Minh",0888331098,,,,,10.7755254,106.7021047,Hồ Chí Minh,cua-hang-uy-quyen
KH69,Đại lý Bluera Việt Nhật Lộc Phát,"Trung tâm Vệ tinh, Tỉnh Vĩnh Long",0391740714,,,,,10.2468959,106.3768781,Vĩnh Long,dai-ly-uy-quyen
KH39,Đại lý Bluera Việt Nhật Quốc Bảo,"U Đường ĐT 141, Khu Phố Bình Phước B, Phường An Phú, TP. Thuận An, Bình Dương",0730870803,,,,,11.1826157,106.6738179,Bình Dương,dai-ly-uy-quyen
KH821,Đại lý Bluera Việt Nhật Lương Thị Thủy,"Thôn số 79, Ấp Thanh Bắc, Xã Đường Thanh, Tây Ninh",0843179624,,,,,11.0800527,106.2610531,Tây Ninh,dai-ly-uy-quyen
